season,taxonomy_category,taxonomy_label,challenges,overturned,overturn_rate,challenge_share,l2m_events,l2m_incorrect,l2m_error_rate,l2m_event_share,mean_sori,challenge_minus_l2m_event_share
2019-20,focal_discrete,Focal/Discrete (Primary Action),196,89,0.45408163265306123,0.4839506172839506,6016.0,318.0,0.05285904255319149,0.8006388075592228,0.04364224212638679,-0.3166881902752722
2019-20,focal_continuous,Focal/Continuous (Boundary/Gather),164,155,0.9451219512195121,0.4049382716049383,389.0,84.0,0.2159383033419023,0.0517700292786798,0.19319128598169089,0.3531682423262585
2019-20,unknown_or_unmapped,Unknown or unmapped,33,33,1.0,0.08148148148148149,,,,,,
2019-20,ambient_continuous,Ambient/Continuous (Off-Ball/Spatial),10,6,0.6,0.024691358024691357,944.0,83.0,0.08792372881355932,0.12563215331381422,0.08549872957810666,-0.10094079528912286
2019-20,administrative_process,Administrative/Process,1,1,1.0,0.0024691358024691358,43.0,3.0,0.06976744186046512,0.005722651051370774,0.08997695099175367,-0.0032535152489016387
2019-20,temporal_discrete,Temporal/Discrete (Clock/Count),1,0,0.0,0.0024691358024691358,122.0,23.0,0.1885245901639344,0.01623635879691243,0.17803417416712086,-0.013767222994443296
2020-21,focal_discrete,Focal/Discrete (Primary Action),126,31,0.24603174603174602,0.5361702127659574,5991.0,265.0,0.044233016190953094,0.8156569094622192,0.044337328835880124,-0.2794866966962618
2020-21,focal_continuous,Focal/Continuous (Boundary/Gather),78,72,0.9230769230769231,0.33191489361702126,417.0,84.0,0.2014388489208633,0.05677331518039483,0.1841070950235334,0.27514157843662645
2020-21,unknown_or_unmapped,Unknown or unmapped,23,22,0.9565217391304348,0.09787234042553192,,,,,,
2020-21,ambient_continuous,Ambient/Continuous (Off-Ball/Spatial),6,2,0.3333333333333333,0.02553191489361702,778.0,56.0,0.07197943444730077,0.10592239618788292,0.08188671102169336,-0.0803904812942659
2020-21,administrative_process,Administrative/Process,1,1,1.0,0.00425531914893617,39.0,5.0,0.1282051282051282,0.005309734513274336,0.08945925185046183,-0.001054415364338166
2020-21,temporal_discrete,Temporal/Discrete (Clock/Count),1,1,1.0,0.00425531914893617,120.0,25.0,0.20833333333333334,0.016337644656228726,0.19855390869668507,-0.012082325507292557
2021-22,focal_discrete,Focal/Discrete (Primary Action),288,104,0.3611111111111111,0.5274725274725275,6192.0,342.0,0.055232558139534885,0.7578019826214661,0.04379287101681831,-0.23032945514893866
2021-22,focal_continuous,Focal/Continuous (Boundary/Gather),192,179,0.9322916666666666,0.3516483516483517,711.0,129.0,0.18143459915611815,0.08701505323705788,0.15717035394820625,0.2646332984112938
2021-22,unknown_or_unmapped,Unknown or unmapped,52,52,1.0,0.09523809523809523,,,,,,
2021-22,ambient_continuous,Ambient/Continuous (Off-Ball/Spatial),8,3,0.375,0.014652014652014652,1048.0,112.0,0.10687022900763359,0.12825847509484764,0.10262806422830184,-0.11360646044283298
2021-22,administrative_process,Administrative/Process,5,3,0.6,0.009157509157509158,55.0,8.0,0.14545454545454545,0.00673112226165708,0.10778692900184392,0.0024263868958520783
2021-22,temporal_discrete,Temporal/Discrete (Clock/Count),1,1,1.0,0.0018315018315018315,165.0,35.0,0.21212121212121213,0.020193366784971238,0.17507020290795497,-0.018361864953469406
2022-23,focal_discrete,Focal/Discrete (Primary Action),297,130,0.4377104377104377,0.4782608695652174,7999.0,308.0,0.038504813101637704,0.7552639033141346,0.04441537854565854,-0.2770030337489172
2022-23,focal_continuous,Focal/Continuous (Boundary/Gather),231,218,0.9437229437229437,0.3719806763285024,881.0,145.0,0.16458569807037457,0.08318383533188556,0.16404988745260132,0.28879684099661684
2022-23,unknown_or_unmapped,Unknown or unmapped,72,66,0.9166666666666666,0.11594202898550725,,,,,,
2022-23,ambient_continuous,Ambient/Continuous (Off-Ball/Spatial),15,6,0.4,0.024154589371980676,1322.0,134.0,0.10136157337367625,0.12482296289302237,0.10910760938384884,-0.1006683735210417
2022-23,administrative_process,Administrative/Process,6,6,1.0,0.00966183574879227,125.0,13.0,0.104,0.011802473798508167,0.08438003883907,-0.0021406380497158966
2023-24,focal_continuous,Focal/Continuous (Boundary/Gather),544,500,0.9191176470588235,0.5055762081784386,742.0,100.0,0.1347708894878706,0.09663974993487888,0.14845466017708783,0.40893645824355973
2023-24,focal_discrete,Focal/Discrete (Primary Action),407,144,0.3538083538083538,0.37825278810408924,5819.0,232.0,0.03986939336655783,0.7578796561604585,0.045016997465380335,-0.37962686805636925
2023-24,unknown_or_unmapped,Unknown or unmapped,95,89,0.9368421052631579,0.08828996282527882,,,,,,
2023-24,ambient_continuous,Ambient/Continuous (Off-Ball/Spatial),19,7,0.3684210526315789,0.017657992565055763,820.0,91.0,0.11097560975609756,0.10679864548059391,0.09987721789668022,-0.08914065291553815
2023-24,temporal_discrete,Temporal/Discrete (Clock/Count),6,6,1.0,0.0055762081784386614,191.0,38.0,0.19895287958115182,0.024876269861943214,0.1814354407664172,-0.019300061683504552
2023-24,administrative_process,Administrative/Process,5,5,1.0,0.004646840148698885,106.0,1.0,0.009433962264150943,0.013805678562125553,0.07784580937532633,-0.009158838413426667
2024-25,focal_continuous,Focal/Continuous (Boundary/Gather),754,665,0.8819628647214854,0.460880195599022,709.0,76.0,0.1071932299012694,0.10569469290399523,0.13610578037035234,0.35518550269502674
2024-25,focal_discrete,Focal/Discrete (Primary Action),677,251,0.3707533234859675,0.41381418092909533,5113.0,145.0,0.028359084686094268,0.7622242098986285,0.04707081464478035,-0.34841002896953316
2024-25,unknown_or_unmapped,Unknown or unmapped,130,118,0.9076923076923077,0.07946210268948656,,,,,,
2024-25,ambient_continuous,Ambient/Continuous (Off-Ball/Spatial),62,36,0.5806451612903226,0.037897310513447434,608.0,55.0,0.09046052631578948,0.09063804412641623,0.08696141308869333,-0.05274073361296879
2024-25,administrative_process,Administrative/Process,8,7,0.875,0.004889975550122249,114.0,1.0,0.008771929824561403,0.01699463327370304,0.07937188752978773,-0.012104657723580792
2024-25,temporal_discrete,Temporal/Discrete (Clock/Count),5,4,0.8,0.003056234718826406,164.0,28.0,0.17073170731707318,0.024448419797257006,0.1663998364740974,-0.0213921850784306
