game_id,event_num,season,season_type,period,game_clock,description,original_ruling,final_ruling,overturned,crew_chief_id,challenging_team,event_msg_type,challenge_action_number,challenge_action_clock,challenge_action_person_id,resolution_method,challenged_action_number,challenged_period,challenged_clock,challenged_action_type,challenged_action_subtype,challenged_description,challenge_raw_type,taxonomy_category,taxonomy_label,mapping_note
0021900007,730,2019-20,Regular Season,4,PT04M57.00S,Instant Replay4th Period (10:02 PM EST) Instant Replay Coach Challenge Ruling Stands,challenged,upheld,0,101284.0,,,730,PT04M57.00S,713,person_id_action_number,713,4,PT04M57.00S,Foul,Shooting,Silva S.FOUL (P4.PN) (K.Lane),Foul: Shooting,ordinary_contact_foul,Ordinary contact foul,Mapped from challenged action type and subtype.
0021900008,390,2019-20,Regular Season,3,PT11M16.00S,Instant Replay3rd Period (9:07 PM EST) Instant Replay Coach Challenge Ruling Stands,challenged,upheld,0,2882.0,,,390,PT11M16.00S,386,person_id_action_number,386,3,PT11M16.00S,Foul,Personal,Embiid P.FOUL (P2.T1) (S.Wright),Foul: Personal,ordinary_contact_foul,Ordinary contact foul,Mapped from challenged action type and subtype.
0021900012,386,2019-20,Regular Season,3,PT10M03.00S,Instant Replay3rd Period (11:30 PM EST) Instant Replay Coach Challenge Overturn Ruling,challenged,overturned,1,1194.0,,,386,PT10M03.00S,383,previous_play,379,3,PT10M04.00S,Foul,Personal,Fox P.FOUL (P4.T1) (J.Butler),Foul: Personal,ordinary_contact_foul,Ordinary contact foul,Mapped from challenged action type and subtype.
0021900015,77,2019-20,Regular Season,1,PT07M24.00S,Instant Replay1st Period (8:15 PM EST) Instant Replay Coach Challenge Overturn Ruling,challenged,overturned,1,2005.0,,,77,PT07M24.00S,74,previous_same_clock,99,1,PT07M24.00S,Turnover,Offensive Foul Turnover,Antetokounmpo Offensive Foul Turnover (P1.T2),Turnover: Offensive Foul Turnover,ordinary_contact_foul,Ordinary contact foul,Mapped from challenged action type and subtype.
0021900015,161,2019-20,Regular Season,1,PT02M11.00S,Instant Replay1st Period (8:28 PM EST) Instant Replay Coach Challenge Overturn Ruling,challenged,overturned,1,2005.0,,,161,PT02M11.00S,158,previous_same_clock,189,1,PT02M11.00S,Rebound,Unknown,Bucks Rebound,Rebound,possession_boundary_adjudication,Possession/boundary adjudication,Rebound-linked challenges usually adjudicate possession or boundary state.
0021900017,353,2019-20,Regular Season,2,PT00M00.30S,Instant Replay2nd Period (8:08 PM EST) Instant Replay Coach Challenge Overturn Ruling,challenged,overturned,1,2530.0,,,353,PT00M00.30S,350,previous_play,348,2,PT00M01.50S,Foul,Personal Take,Wanamaker Personal Take Foul (P2.T4) (E.Malloy),Foul: Personal Take,ordinary_contact_foul,Ordinary contact foul,Mapped from challenged action type and subtype.
0021900017,666,2019-20,Regular Season,4,PT01M31.00S,Instant Replay4th Period (9:22 PM EST) Instant Replay Coach Challenge Ruling Stands,challenged,upheld,0,2530.0,,,666,PT01M31.00S,662,person_id_action_number,662,4,PT01M31.00S,Foul,Offensive Charge,Anunoby Offensive Charge Foul (P5.T3) (E.Malloy),Foul: Offensive Charge,ordinary_contact_foul,Ordinary contact foul,Mapped from challenged action type and subtype.
0021900024,629,2019-20,Regular Season,4,PT03M19.00S,Instant Replay4th Period (12:20 AM EST) Instant Replay Coach Challenge Overturn Ruling,challenged,overturned,1,1628159.0,,,629,PT03M19.00S,682,previous_same_clock,681,4,PT03M19.00S,Rebound,Unknown,Bazemore REBOUND (Off:0 Def:7),Rebound,possession_boundary_adjudication,Possession/boundary adjudication,Rebound-linked challenges usually adjudicate possession or boundary state.
0021900026,637,2019-20,Regular Season,4,PT05M54.00S,Instant Replay4th Period (7:11 PM EST) Instant Replay Coach Challenge Overturn Ruling,challenged,overturned,1,1627964.0,,,637,PT05M54.00S,638,previous_same_clock,635,4,PT05M54.00S,Rebound,Unknown,BUCKS Rebound,Rebound,possession_boundary_adjudication,Possession/boundary adjudication,Rebound-linked challenges usually adjudicate possession or boundary state.
0021900029,484,2019-20,Regular Season,3,PT06M17.00S,Instant Replay3rd Period (9:14 PM EST) Instant Replay Coach Challenge Ruling Stands,challenged,upheld,0,1627541.0,,,484,PT06M17.00S,481,person_id_action_number,481,3,PT06M17.00S,Foul,Personal,Hayward P.FOUL (P4.T4) (N.Sago),Foul: Personal,ordinary_contact_foul,Ordinary contact foul,Mapped from challenged action type and subtype.
0021900033,633,2019-20,Regular Season,4,PT03M17.00S,Instant Replay4th Period (10:43 PM EST) Instant Replay Coach Challenge Overturn Ruling,challenged,overturned,1,2529.0,,,633,PT03M17.00S,630,person_id_action_number,630,4,PT03M17.00S,Foul,Offensive,Aldridge OFF.Foul (P3) (M.Kogut),Foul: Offensive,ordinary_contact_foul,Ordinary contact foul,Mapped from challenged action type and subtype.
0021900034,257,2019-20,Regular Season,2,PT04M00.00S,Instant Replay2nd Period (9:57 PM EST) Instant Replay Coach Challenge Overturn Ruling,challenged,overturned,1,101283.0,,,257,PT04M00.00S,255,previous_same_clock,301,2,PT04M00.00S,Rebound,Unknown,Kings Rebound,Rebound,possession_boundary_adjudication,Possession/boundary adjudication,Rebound-linked challenges usually adjudicate possession or boundary state.
0021900038,685,2019-20,Regular Season,4,PT00M08.40S,Instant Replay4th Period (9:33 PM EST) Instant Replay Coach Challenge Overturn Ruling,challenged,overturned,1,201638.0,,,685,PT00M08.40S,682,previous_play,700,4,PT00M09.40S,Rebound,Unknown,Trail Blazers Rebound,Rebound,possession_boundary_adjudication,Possession/boundary adjudication,Rebound-linked challenges usually adjudicate possession or boundary state.
0021900040,309,2019-20,Regular Season,2,PT02M59.00S,Instant Replay2nd Period (10:34 PM EST) Instant Replay Coach Challenge Ruling Stands,challenged,upheld,0,201639.0,,,309,PT02M59.00S,304,person_id_action_number,304,2,PT02M59.00S,Foul,Offensive,Davis OFF.Foul (P1) (J.Goble),Foul: Offensive,ordinary_contact_foul,Ordinary contact foul,Mapped from challenged action type and subtype.
0021900041,306,2019-20,Regular Season,2,PT00M36.50S,Instant Replay2nd Period (8:01 PM EST) Instant Replay Coach Challenge Overturn Ruling,challenged,overturned,1,2530.0,,,306,PT00M36.50S,303,previous_play,329,2,PT00M38.30S,Rebound,Unknown,Pacers Rebound,Rebound,possession_boundary_adjudication,Possession/boundary adjudication,Rebound-linked challenges usually adjudicate possession or boundary state.
0021900043,491,2019-20,Regular Season,3,PT06M30.00S,Instant Replay3rd Period (9:16 PM EST) Instant Replay Coach Challenge Overturn Ruling,challenged,overturned,1,1198.0,,,491,PT06M30.00S,488,previous_play,486,3,PT06M45.00S,Made Shot,Dunk Shot,Fernando 1' Dunk (11 PTS) (Young 7 AST),Unknown,unknown_or_unmapped,Unknown or unmapped,Shot/free-throw linked challenge lacks enough text to infer the challenged ruling.
0021900047,445,2019-20,Regular Season,3,PT08M16.00S,Instant Replay3rd Period (9:36 PM EST) Instant Replay Coach Challenge Overturn Ruling,challenged,overturned,1,2003.0,,,445,PT08M16.00S,442,previous_play,441,3,PT08M17.00S,Rebound,Unknown,Ingram REBOUND (Off:3 Def:4),Rebound,possession_boundary_adjudication,Possession/boundary adjudication,Rebound-linked challenges usually adjudicate possession or boundary state.
0021900050,351,2019-20,Regular Season,3,PT10M47.00S,Instant Replay3rd Period (11:21 PM EST) Instant Replay Coach Challenge Overturn Ruling,challenged,overturned,1,2714.0,,,351,PT10M47.00S,348,previous_same_clock,370,3,PT10M47.00S,Rebound,Unknown,Nuggets Rebound,Rebound,possession_boundary_adjudication,Possession/boundary adjudication,Rebound-linked challenges usually adjudicate possession or boundary state.
0021900055,446,2019-20,Regular Season,3,PT03M14.00S,Instant Replay3rd Period (8:44 PM EST) Instant Replay Coach Challenge Overturn Ruling,challenged,overturned,1,2002.0,,,446,PT03M14.00S,443,previous_same_clock,480,3,PT03M14.00S,Rebound,Unknown,CAVALIERS Rebound,Rebound,possession_boundary_adjudication,Possession/boundary adjudication,Rebound-linked challenges usually adjudicate possession or boundary state.
0021900057,650,2019-20,Regular Season,4,PT06M01.00S,Instant Replay4th Period (9:17 PM EST) Instant Replay Coach Challenge Ruling Stands,challenged,upheld,0,203591.0,,,650,PT06M01.00S,647,person_id_action_number,647,4,PT06M01.00S,Foul,Offensive Charge,Harris Offensive Charge Foul (P5.PN) (S.Twardoski),Foul: Offensive Charge,ordinary_contact_foul,Ordinary contact foul,Mapped from challenged action type and subtype.
0021900059,334,2019-20,Regular Season,2,PT00M29.90S,Instant Replay2nd Period (8:38 PM EST) Instant Replay Coach Challenge Overturn Ruling,challenged,overturned,1,1194.0,,,334,PT00M29.90S,331,person_id_action_number,331,2,PT00M29.90S,Foul,Offensive Charge,Lamb Offensive Charge Foul (P3) (B.Spooner),Foul: Offensive Charge,ordinary_contact_foul,Ordinary contact foul,Mapped from challenged action type and subtype.
0021900059,550,2019-20,Regular Season,4,PT10M20.00S,Instant Replay4th Period (9:30 PM EST) Instant Replay Coach Challenge Overturn Ruling,challenged,overturned,1,1194.0,,,550,PT10M20.00S,548,previous_same_clock,547,4,PT10M20.00S,Rebound,Unknown,Pacers Rebound,Rebound,possession_boundary_adjudication,Possession/boundary adjudication,Rebound-linked challenges usually adjudicate possession or boundary state.
0021900061,274,2019-20,Regular Season,2,PT06M15.00S,Instant Replay2nd Period (9:02 PM EST) Instant Replay Coach Challenge Ruling Stands,challenged,upheld,0,1148.0,,,274,PT06M15.00S,271,person_id_action_number,271,2,PT06M15.00S,Foul,Personal,Bertans P.FOUL (P3.T3) (J.Goldenberg),Foul: Personal,ordinary_contact_foul,Ordinary contact foul,Mapped from challenged action type and subtype.
0021900061,721,2019-20,Regular Season,4,PT00M08.10S,Instant Replay4th Period (10:37 PM EST) Instant Replay Coach Challenge Ruling Stands,challenged,upheld,0,1148.0,,,721,PT00M08.10S,718,person_id_action_number,718,4,PT00M07.70S,Foul,Shooting,Tucker S.FOUL (P5.PN) (J.Capers),Foul: Shooting,ordinary_contact_foul,Ordinary contact foul,Mapped from challenged action type and subtype.
