game_id,game_date,season,season_type,chief_rows,r2_rows,r3_rows,crew_chief_id,crew_chief_name,official_2_id,official_3_id,game_date_parsed,is_playoff,trio_key,chief_games_before,chief_season_games_before,prior_same_trio_season,prior_same_trio_career,years_since_first_chief_game,experience_tier,familiarity_bucket_season
0021800868,2019-02-21T19:00:00Z,2018-19,Regular Season,1,1,1,1146,Tony Brothers,2003,1626302,2019-02-21 19:00:00+00:00,0,"[1146, 2003, 1626302]",0,0,0,0,0.0,tier_1_lt75_chief_games,first_time_trio
0021800870,2019-02-21T20:00:00Z,2018-19,Regular Season,1,1,1,1147,Mike Callahan,1155,202027,2019-02-21 20:00:00+00:00,0,"[1147, 1155, 202027]",0,0,0,0,0.0,tier_1_lt75_chief_games,first_time_trio
0021800871,2019-02-21T22:30:00Z,2018-19,Regular Season,1,1,1,2148,Mark Ayotte,203593,1179,2019-02-21 22:30:00+00:00,0,"[1179, 2148, 203593]",0,0,0,0,0.0,tier_1_lt75_chief_games,first_time_trio
0021800872,2019-02-21T22:30:00Z,2018-19,Regular Season,1,1,1,1193,Michael Smith,1162,2004,2019-02-21 22:30:00+00:00,0,"[1162, 1193, 2004]",0,0,0,0,0.0,tier_1_lt75_chief_games,first_time_trio
0021800875,2019-02-22T19:00:00Z,2018-19,Regular Season,1,1,1,204059,Tyler Ford,201245,2715,2019-02-22 19:00:00+00:00,0,"[2715, 201245, 204059]",0,0,0,0,0.0,tier_1_lt75_chief_games,first_time_trio
0021800876,2019-02-22T19:00:00Z,2018-19,Regular Season,1,1,1,200833,Eric Dalen,1830,2529,2019-02-22 19:00:00+00:00,0,"[1830, 2529, 200833]",0,0,0,0,0.0,tier_1_lt75_chief_games,first_time_trio
0021800877,2019-02-22T19:30:00Z,2018-19,Regular Season,1,1,1,201639,Josh Tiven,202901,203592,2019-02-22 19:30:00+00:00,0,"[201639, 202901, 203592]",0,0,0,0,0.0,tier_1_lt75_chief_games,first_time_trio
0021800881,2019-02-22T21:30:00Z,2018-19,Regular Season,1,1,1,202041,Kevin Scott,2530,203591,2019-02-22 21:30:00+00:00,0,"[2530, 202041, 203591]",0,0,0,0,0.0,tier_1_lt75_chief_games,first_time_trio
0021800883,2019-02-23T19:00:00Z,2018-19,Regular Season,1,1,1,204059,Tyler Ford,1626302,200834,2019-02-23 19:00:00+00:00,0,"[200834, 204059, 1626302]",1,1,0,0,0.0027378507871321013,tier_1_lt75_chief_games,first_time_trio
0021800884,2019-02-23T19:00:00Z,2018-19,Regular Season,1,1,1,2003,Pat Fraher,200832,202056,2019-02-23 19:00:00+00:00,0,"[2003, 200832, 202056]",0,0,0,0,0.0,tier_1_lt75_chief_games,first_time_trio
0021800885,2019-02-23T19:00:00Z,2018-19,Regular Season,1,1,1,202035,Brett Nansel,204058,2534,2019-02-23 19:00:00+00:00,0,"[2534, 202035, 204058]",0,0,0,0,0.0,tier_1_lt75_chief_games,first_time_trio
0021800886,2019-02-23T19:00:00Z,2018-19,Regular Season,1,1,1,202053,Scott Twardoski,1627963,101284,2019-02-23 19:00:00+00:00,0,"[101284, 202053, 1627963]",0,0,0,0,0.0,tier_1_lt75_chief_games,first_time_trio
