scenario,scenario_events,scenario_incorrect,scenario_error_rate,holdout_season,train_seasons,train_events,test_events,test_incorrect,baseline_error_rate,roc_auc,avg_precision,top_10_error_rate,top_10_lift,top_10_error_capture
full_sample,51130,3214,0.06285937805593585,2019-20,2018-19,3123,7514,511,0.06800638807559223,0.6544927767887008,0.15838450046114994,0.18641810918774968,2.74118526895646,0.273972602739726
full_sample,51130,3214,0.06285937805593585,2020-21,2018-19 to 2019-20,10637,7345,435,0.05922396187882913,0.6561137448641815,0.19451157747663333,0.1907356948228883,3.2205831689060105,0.3218390804597701
full_sample,51130,3214,0.06285937805593585,2021-22,2018-19 to 2020-21,17982,8171,626,0.07661240974176968,0.6789998030983428,0.217596660995033,0.2631578947368421,3.434925172355809,0.34345047923322686
full_sample,51130,3214,0.06285937805593585,2022-23,2018-19 to 2021-22,26153,10591,656,0.061939382494570865,0.7276898161218653,0.22436462563620604,0.24362606232294617,3.933298210460858,0.3932926829268293
full_sample,51130,3214,0.06285937805593585,2023-24,2018-19 to 2022-23,36744,7678,462,0.06017191977077364,0.7083067869861108,0.22635847291361028,0.23468057366362452,3.9001676289811886,0.38961038961038963
full_sample,51130,3214,0.06285937805593585,2024-25,2018-19 to 2023-24,44422,6708,305,0.04546809779367919,0.6969389348742777,0.20493920185154,0.18208955223880596,4.004776119402985,0.4
exclude_defense_3_second,50449,2970,0.05887133540803584,2019-20,2018-19,3089,7440,494,0.06639784946236559,0.6494743719916859,0.1555538877696831,0.1760752688172043,2.6518218623481786,0.2651821862348178
exclude_defense_3_second,50449,2970,0.05887133540803584,2020-21,2018-19 to 2019-20,10529,7293,421,0.05772658713835185,0.648971419011777,0.19232269976311764,0.17695473251028807,3.065393976716225,0.30641330166270786
exclude_defense_3_second,50449,2970,0.05887133540803584,2021-22,2018-19 to 2020-21,17822,8025,574,0.07152647975077882,0.6585668644902796,0.1956928942996891,0.21321695760598502,2.980951367226533,0.2979094076655052
exclude_defense_3_second,50449,2970,0.05887133540803584,2022-23,2018-19 to 2021-22,25847,10376,585,0.05638010794140324,0.7045225556000759,0.19814137529199627,0.19382835101253615,3.437885418984744,0.3435897435897436
exclude_defense_3_second,50449,2970,0.05887133540803584,2023-24,2018-19 to 2022-23,36223,7571,408,0.05388984282129177,0.675107886935313,0.18255116574328883,0.17437252311756934,3.2357215012821507,0.3235294117647059
exclude_defense_3_second,50449,2970,0.05887133540803584,2024-25,2018-19 to 2023-24,43794,6655,273,0.04102178812922615,0.6632407078975553,0.1599399607141624,0.13984962406015036,3.4091547550194163,0.34065934065934067
exclude_traveling,49998,2824,0.056482259290371616,2019-20,2018-19,3063,7355,456,0.06199864038069341,0.6135104439239859,0.1097178819009281,0.13741496598639455,2.2164190237498507,0.22149122807017543
exclude_traveling,49998,2824,0.056482259290371616,2020-21,2018-19 to 2019-20,10418,7195,372,0.051702571230020845,0.6053965950083446,0.12016238299872649,0.11821974965229486,2.286535211688875,0.22849462365591397
exclude_traveling,49998,2824,0.056482259290371616,2021-22,2018-19 to 2020-21,17613,7972,551,0.06911690918213748,0.6468305840271305,0.16582177947515436,0.19698870765370138,2.850079813820885,0.2849364791288566
exclude_traveling,49998,2824,0.056482259290371616,2022-23,2018-19 to 2021-22,25585,10334,566,0.0547706599574221,0.6968590920666893,0.1750400661297303,0.1781219748305905,3.252142204769121,0.3250883392226148
exclude_traveling,49998,2824,0.056482259290371616,2023-24,2018-19 to 2022-23,35919,7500,406,0.05413333333333333,0.6818601301870311,0.20639381688913971,0.17866666666666667,3.3004926108374386,0.33004926108374383
exclude_traveling,49998,2824,0.056482259290371616,2024-25,2018-19 to 2023-24,43419,6579,271,0.041191670466636264,0.673172296878327,0.21089575008960856,0.1415525114155251,3.436435323257342,0.34317343173431736
exclude_defense_3_second_and_traveling,49317,2580,0.0523146176774743,2019-20,2018-19,3029,7281,439,0.060293915670924327,0.6067442215073853,0.10527570025291441,0.12362637362637363,2.0503955042679416,0.20501138952164008
exclude_defense_3_second_and_traveling,49317,2580,0.0523146176774743,2020-21,2018-19 to 2019-20,10310,7143,358,0.0501189976200476,0.5945552339822893,0.11175068911250148,0.1092436974789916,2.1796863996995444,0.21787709497206703
exclude_defense_3_second_and_traveling,49317,2580,0.0523146176774743,2021-22,2018-19 to 2020-21,17453,7826,499,0.06376181957577307,0.6194555071655526,0.13243296108936842,0.1432225063938619,2.2462110922612486,0.22444889779559118
exclude_defense_3_second_and_traveling,49317,2580,0.0523146176774743,2022-23,2018-19 to 2021-22,25279,10119,495,0.048917877260598874,0.6633698791741186,0.13400443279956148,0.12858555885262116,2.628600545514492,0.26262626262626265
exclude_defense_3_second_and_traveling,49317,2580,0.0523146176774743,2023-24,2018-19 to 2022-23,35398,7393,352,0.04761260651968078,0.6378060806187138,0.12974977499451126,0.12178619756427606,2.557856132365605,0.2556818181818182
