variant,holdout_season,train_seasons,train_events,test_events,test_incorrect,baseline_error_rate,roc_auc,avg_precision,top_10_error_rate,top_10_lift,top_10_error_capture
baseline_error_rate,2019-20,2018-19,3123,7514,511,0.06800638807559223,0.5,0.06800638807559223,0.07190412782956059,1.0573143180260631,0.10567514677103718
baseline_error_rate,2020-21,2018-19 to 2019-20,10637,7345,435,0.05922396187882913,0.5,0.05922396187882913,0.05313351498637602,0.8971624541952458,0.0896551724137931
baseline_error_rate,2021-22,2018-19 to 2020-21,17982,8171,626,0.07661240974176968,0.5,0.07661240974176968,0.07833537331701346,1.0224893536314967,0.10223642172523961
baseline_error_rate,2022-23,2018-19 to 2021-22,26153,10591,656,0.061939382494570865,0.5,0.061939382494570865,0.05571293673276676,0.8994751721596536,0.0899390243902439
baseline_error_rate,2023-24,2018-19 to 2022-23,36744,7678,462,0.06017191977077364,0.5,0.06017191977077364,0.07170795306388526,1.1917178866331408,0.11904761904761904
baseline_error_rate,2024-25,2018-19 to 2023-24,44422,6708,305,0.04546809779367919,0.5,0.04546809779367919,0.041791044776119404,0.9191289454367506,0.09180327868852459
call_type_only,2019-20,2018-19,3123,7514,511,0.06800638807559223,0.6565961526692641,0.14347405507034225,0.18908122503328895,2.7803450585129807,0.27788649706457924
call_type_only,2020-21,2018-19 to 2019-20,10637,7345,435,0.05922396187882913,0.6482048339072142,0.16112455761498187,0.18664850136239783,3.151570672429453,0.31494252873563217
call_type_only,2021-22,2018-19 to 2020-21,17982,8171,626,0.07661240974176968,0.6847751615969784,0.18915654829986944,0.24724602203182375,3.2272320223994115,0.3226837060702875
call_type_only,2022-23,2018-19 to 2021-22,26153,10591,656,0.061939382494570865,0.7118225784673549,0.190373529706892,0.24645892351274787,3.979034236163891,0.3978658536585366
call_type_only,2023-24,2018-19 to 2022-23,36744,7678,462,0.06017191977077364,0.699595535654294,0.18854001411919286,0.2333767926988266,3.878500031042404,0.3874458874458874
call_type_only,2024-25,2018-19 to 2023-24,44422,6708,305,0.04546809779367919,0.6916074176295435,0.16201796821160439,0.18059701492537314,3.9719500856373866,0.39672131147540984
call_vs_non_call,2019-20,2018-19,3123,7514,511,0.06800638807559223,0.5485735355800827,0.0748710726302291,0.09587217043941411,1.4097524240347508,0.14090019569471623
call_vs_non_call,2020-21,2018-19 to 2019-20,10637,7345,435,0.05922396187882913,0.521930568724321,0.06179750927431722,0.06403269754768393,1.0811957781327322,0.10804597701149425
call_vs_non_call,2021-22,2018-19 to 2020-21,17982,8171,626,0.07661240974176968,0.5525020272401798,0.0849893053392881,0.08690330477356181,1.1343241266849418,0.1134185303514377
call_vs_non_call,2022-23,2018-19 to 2021-22,26153,10591,656,0.061939382494570865,0.545487436630783,0.06779875699840418,0.06893295561850803,1.1129099587738087,0.11128048780487805
call_vs_non_call,2023-24,2018-19 to 2022-23,36744,7678,462,0.06017191977077364,0.5486287086896843,0.06634173461980732,0.05867014341590613,0.9750419072452972,0.09740259740259741
call_vs_non_call,2024-25,2018-19 to 2023-24,44422,6708,305,0.04546809779367919,0.5506325160081212,0.05046708289065614,0.050746268656716415,1.11608514803034,0.11147540983606558
taxonomy_only,2019-20,2018-19,3123,7514,511,0.06800638807559223,0.6046667726691357,0.1090946705970896,0.16511318242343542,2.427906952504293,0.24266144814090018
taxonomy_only,2020-21,2018-19 to 2019-20,10637,7345,435,0.05922396187882913,0.6196957599347939,0.10426201491355092,0.16621253405994552,2.8065081900466664,0.28045977011494255
taxonomy_only,2021-22,2018-19 to 2020-21,17982,8171,626,0.07661240974176968,0.6219570754387413,0.11752930370027408,0.17870257037943696,2.332553837971852,0.23322683706070288
taxonomy_only,2022-23,2018-19 to 2021-22,26153,10591,656,0.061939382494570865,0.6626116249524348,0.11672537583899893,0.17658168083097261,2.8508789354890713,0.2850609756097561
taxonomy_only,2023-24,2018-19 to 2022-23,36744,7678,462,0.06017191977077364,0.6445544593063994,0.10373229115230087,0.15123859191655803,2.5134413608989883,0.2510822510822511
taxonomy_only,2024-25,2018-19 to 2023-24,44422,6708,305,0.04546809779367919,0.6575736783218932,0.08542096698373298,0.12238805970149254,2.6917347687790554,0.26885245901639343
taxonomy_clock,2019-20,2018-19,3123,7514,511,0.06800638807559223,0.5954779514398777,0.11658404913097788,0.17709720372836218,2.604126005508637,0.2602739726027397
taxonomy_clock,2020-21,2018-19 to 2019-20,10637,7345,435,0.05922396187882913,0.6198005555832792,0.11489165841743709,0.17029972752043596,2.8755206865232235,0.28735632183908044
taxonomy_clock,2021-22,2018-19 to 2020-21,17982,8171,626,0.07661240974176968,0.6371163858171525,0.13463122269415792,0.18237454100367198,2.3804830264233283,0.2380191693290735
taxonomy_clock,2022-23,2018-19 to 2021-22,26153,10591,656,0.061939382494570865,0.6653145598831429,0.12531875752996086,0.17847025495750707,2.8813696192910934,0.28810975609756095
taxonomy_clock,2023-24,2018-19 to 2022-23,36744,7678,462,0.06017191977077364,0.6552494876704965,0.11406708315640253,0.14471968709256844,2.4051033712050662,0.24025974025974026
taxonomy_clock,2024-25,2018-19 to 2023-24,44422,6708,305,0.04546809779367919,0.6539639462034958,0.09118365077608406,0.1208955223880597,2.658908735013457,0.26557377049180325
taxonomy_context_workload,2019-20,2018-19,3123,7514,511,0.06800638807559223,0.6152192811970716,0.14473458537338726,0.1677762982689747,2.4670667420608137,0.2465753424657534
taxonomy_context_workload,2020-21,2018-19 to 2019-20,10637,7345,435,0.05922396187882913,0.6332955736314188,0.16080404705994342,0.19482288828337874,3.2895956653825675,0.32873563218390806
taxonomy_context_workload,2021-22,2018-19 to 2020-21,17982,8171,626,0.07661240974176968,0.6389637679778624,0.16124688886961885,0.20318237454100369,2.652081760981695,0.26517571884984026
taxonomy_context_workload,2022-23,2018-19 to 2021-22,26153,10591,656,0.061939382494570865,0.683144632182356,0.16313506162605784,0.18791312559017942,3.0338230383012044,0.30335365853658536
taxonomy_context_workload,2023-24,2018-19 to 2022-23,36744,7678,462,0.06017191977077364,0.6651142302819132,0.14293075711016617,0.17470664928292046,2.903458123797107,0.29004329004329005
taxonomy_context_workload,2024-25,2018-19 to 2023-24,44422,6708,305,0.04546809779367919,0.6785146818985976,0.1327614004588825,0.14925373134328357,3.2826033765598233,0.32786885245901637
